millis,ax,ay,az,gx,gy,gz
2024-12-31 11:32:27.054959,-0.010986,0.049683,1.048584,-0.427246,3.173828,0.610352
2024-12-31 11:32:27.062959,-0.049927,0.028564,1.019287,-4.028320,3.479004,3.295898
2024-12-31 11:32:27.071959,-0.090210,-0.067505,1.027466,-0.854492,0.427246,1.586914
2024-12-31 11:32:27.079959,-0.175049,-0.086792,0.979492,-3.417969,2.258301,2.685547
2024-12-31 11:32:27.088959,-0.004272,-0.027222,1.013916,-4.455566,1.892090,5.126953
2024-12-31 11:32:27.096959,-0.093872,-0.061157,0.977661,-5.737305,0.244141,9.155273
2024-12-31 11:32:27.105959,-0.219849,-0.122070,0.999023,-1.831055,0.854492,4.699707
2024-12-31 11:32:27.113959,0.317749,0.132568,1.083374,-3.173828,0.793457,7.873535
2024-12-31 11:32:27.122959,0.054443,-0.044678,1.028442,-1.708984,0.427246,7.507324
2024-12-31 11:32:27.130959,-0.518066,-0.416748,0.922974,-2.990723,2.319336,0.427246
2024-12-31 11:32:27.139959,0.184204,0.120239,1.070679,-2.258301,-1.892090,8.239746
2024-12-31 11:32:27.147959,0.105591,0.020996,1.012085,0.183105,2.624512,6.103516
2024-12-31 11:32:27.156959,-0.187012,-0.080566,0.978760,-2.441406,2.197266,0.671387
2024-12-31 11:32:27.164959,-0.380859,-0.198975,0.994751,-3.601074,2.868652,-3.112793
2024-12-31 11:32:27.172959,0.022095,-0.060059,1.004150,1.953125,2.197266,2.441406
2024-12-31 11:32:27.181959,0.126465,0.022217,0.998291,-2.380371,1.037598,10.803223
2024-12-31 11:32:27.189959,0.058716,-0.041870,1.004761,-4.150391,1.525879,6.835938
2024-12-31 11:32:27.198959,-0.203491,-0.114746,1.006470,-3.723145,2.075195,2.685547
2024-12-31 11:32:27.206959,0.025146,0.071411,1.051758,-5.615234,2.563477,6.591797
2024-12-31 11:32:27.215959,-0.300171,-0.141235,0.960938,-3.112793,0.854492,4.150391
2024-12-31 11:32:27.223959,0.117310,0.043823,1.044678,0.549316,2.441406,3.479004
2024-12-31 11:32:27.232959,-0.061646,0.075562,1.045776,-5.371094,2.258301,5.187988
2024-12-31 11:32:27.240959,0.018433,0.027954,1.023071,-6.958008,3.112793,4.699707
2024-12-31 11:32:27.249959,-0.161499,0.009521,0.960327,-4.028320,-1.098633,6.774902
2024-12-31 11:32:27.257959,0.090698,0.146484,1.037231,-1.037598,0.549316,4.089355
2024-12-31 11:32:27.266959,-0.073608,0.038696,1.026855,-0.549316,1.281738,-0.061035
2024-12-31 11:32:27.274959,0.198486,0.013306,1.076538,-0.488281,0.183105,1.464844
2024-12-31 11:32:27.283959,-0.029663,-0.051147,0.994751,-7.629395,0.854492,2.624512
2024-12-31 11:32:27.291959,-0.042114,0.110840,1.020142,-2.929688,0.915527,-0.915527
2024-12-31 11:32:27.299959,-0.096313,0.096802,1.022095,-4.760742,2.746582,1.159668
2024-12-31 11:32:27.308959,0.114380,0.004883,1.043091,-2.136230,0.305176,-5.737305
2024-12-31 11:32:27.316959,-0.056641,0.156982,1.012817,-4.821777,2.380371,-6.164551
